,AUC,Accuracy,Recall,Precision,F1,TN,FP,FN,TP
TFIDF_LR,0.7,0.61,0.48,0.8,0.6,13.0,3.0,13.0,12.0
TFIDF_LGBM,0.66,0.61,0.52,0.76,0.62,12.0,4.0,12.0,13.0
TFIDF_NB,0.54,0.54,0.52,0.65,0.58,9.0,7.0,12.0,13.0
TFIDF_SVC,0.66,0.59,0.56,0.7,0.62,10.0,6.0,11.0,14.0
TFIDF_ADB,0.5,0.49,0.48,0.6,0.53,8.0,8.0,13.0,12.0
TFIDF_GBC,0.56,0.59,0.44,0.79,0.56,13.0,3.0,14.0,11.0
TFIDF_RFC,0.66,0.56,0.56,0.67,0.61,9.0,7.0,11.0,14.0
TFIDF_XGB,0.7,0.56,0.56,0.67,0.61,9.0,7.0,11.0,14.0
TFIDF_DT,0.61,0.59,0.68,0.65,0.67,7.0,9.0,8.0,17.0
TFIDF_Perceptron,0.53,0.54,0.56,0.64,0.6,8.0,8.0,11.0,14.0
Word2Vec_LR,0.53,0.59,0.68,0.65,0.67,7.0,9.0,8.0,17.0
Word2Vec_LGBM,0.64,0.61,0.68,0.68,0.68,8.0,8.0,8.0,17.0
Word2Vec_NB,0.61,0.56,0.88,0.59,0.71,1.0,15.0,3.0,22.0
Word2Vec_SVC,0.64,0.63,0.72,0.69,0.71,8.0,8.0,7.0,18.0
Word2Vec_ADB,0.64,0.56,0.64,0.64,0.64,7.0,9.0,9.0,16.0
Word2Vec_GBC,0.6,0.61,0.68,0.68,0.68,8.0,8.0,8.0,17.0
Word2Vec_RFC,0.72,0.61,0.88,0.63,0.73,3.0,13.0,3.0,22.0
Word2Vec_XGB,0.69,0.63,0.64,0.73,0.68,10.0,6.0,9.0,16.0
Word2Vec_DT,0.58,0.63,0.8,0.67,0.73,6.0,10.0,5.0,20.0
Word2Vec_Perceptron,0.57,0.59,0.64,0.67,0.65,8.0,8.0,9.0,16.0
BOW_LR,0.7,0.66,0.48,0.92,0.63,15.0,1.0,13.0,12.0
BOW_LGBM,0.76,0.66,0.64,0.76,0.7,11.0,5.0,9.0,16.0
BOW_NB,0.76,0.59,0.44,0.79,0.56,13.0,3.0,14.0,11.0
BOW_SVC,0.77,0.68,0.64,0.8,0.71,12.0,4.0,9.0,16.0
BOW_ADB,0.78,0.73,0.64,0.89,0.74,14.0,2.0,9.0,16.0
BOW_GBC,0.8,0.66,0.6,0.79,0.68,12.0,4.0,10.0,15.0
BOW_RFC,0.89,0.76,0.72,0.86,0.78,13.0,3.0,7.0,18.0
BOW_XGB,0.8,0.68,0.68,0.77,0.72,11.0,5.0,8.0,17.0
BOW_DT,0.49,0.49,0.56,0.58,0.57,6.0,10.0,11.0,14.0
BOW_Perceptron,0.51,0.51,0.52,0.62,0.57,8.0,8.0,12.0,13.0
IndicBERT_LR,0.81,0.73,0.64,0.89,0.74,14.0,2.0,9.0,16.0
IndicBERT_LGBM,0.88,0.66,0.52,0.87,0.65,14.0,2.0,12.0,13.0
IndicBERT_NB,0.74,0.73,0.76,0.79,0.78,11.0,5.0,6.0,19.0
IndicBERT_SVC,0.82,0.78,0.72,0.9,0.8,14.0,2.0,7.0,18.0
IndicBERT_ADB,0.81,0.68,0.64,0.8,0.71,12.0,4.0,9.0,16.0
IndicBERT_GBC,0.84,0.68,0.56,0.88,0.68,14.0,2.0,11.0,14.0
IndicBERT_RFC,0.87,0.76,0.68,0.89,0.77,14.0,2.0,8.0,17.0
IndicBERT_XGB,0.82,0.71,0.6,0.88,0.71,14.0,2.0,10.0,15.0
IndicBERT_DT,0.66,0.63,0.6,0.75,0.67,11.0,5.0,10.0,15.0
IndicBERT_Perceptron,0.59,0.51,0.24,0.86,0.38,15.0,1.0,19.0,6.0
mBERT_LR,0.73,0.71,0.8,0.74,0.77,9.0,7.0,5.0,20.0
mBERT_LGBM,0.78,0.71,0.84,0.72,0.78,8.0,8.0,4.0,21.0
mBERT_NB,0.68,0.49,0.2,0.83,0.32,15.0,1.0,20.0,5.0
mBERT_SVC,0.75,0.68,0.76,0.73,0.75,9.0,7.0,6.0,19.0
mBERT_ADB,0.7,0.71,0.88,0.71,0.79,7.0,9.0,3.0,22.0
mBERT_GBC,0.77,0.68,0.76,0.73,0.75,9.0,7.0,6.0,19.0
mBERT_RFC,0.76,0.73,0.8,0.77,0.78,10.0,6.0,5.0,20.0
mBERT_XGB,0.72,0.68,0.84,0.7,0.76,7.0,9.0,4.0,21.0
mBERT_DT,0.76,0.71,0.76,0.76,0.76,10.0,6.0,6.0,19.0
mBERT_Perceptron,0.52,0.41,0.04,1.0,0.08,16.0,0.0,24.0,1.0
fastText_LR,0.52,0.63,0.76,0.68,0.72,7.0,9.0,6.0,19.0
fastText_LGBM,0.62,0.56,0.64,0.64,0.64,7.0,9.0,9.0,16.0
fastText_NB,0.64,0.56,0.88,0.59,0.71,1.0,15.0,3.0,22.0
fastText_SVC,0.67,0.68,0.76,0.73,0.75,9.0,7.0,6.0,19.0
fastText_ADB,0.68,0.56,0.48,0.71,0.57,11.0,5.0,13.0,12.0
fastText_GBC,0.58,0.59,0.76,0.63,0.69,5.0,11.0,6.0,19.0
fastText_RFC,0.76,0.63,0.88,0.65,0.75,4.0,12.0,3.0,22.0
fastText_XGB,0.69,0.63,0.68,0.71,0.69,9.0,7.0,8.0,17.0
fastText_DT,0.55,0.61,0.92,0.62,0.74,2.0,14.0,2.0,23.0
fastText_Perceptron,0.62,0.63,0.68,0.71,0.69,9.0,7.0,8.0,17.0
IndicFT_LR,0.88,0.76,0.68,0.89,0.77,14.0,2.0,8.0,17.0
IndicFT_LGBM,0.86,0.71,0.6,0.88,0.71,14.0,2.0,10.0,15.0
IndicFT_NB,0.86,0.76,0.68,0.89,0.77,14.0,2.0,8.0,17.0
IndicFT_SVC,0.88,0.8,0.76,0.9,0.83,14.0,2.0,6.0,19.0
IndicFT_ADB,0.88,0.8,0.72,0.95,0.82,15.0,1.0,7.0,18.0
IndicFT_GBC,0.87,0.73,0.6,0.94,0.73,15.0,1.0,10.0,15.0
IndicFT_RFC,0.87,0.73,0.64,0.89,0.74,14.0,2.0,9.0,16.0
IndicFT_XGB,0.86,0.78,0.68,0.94,0.79,15.0,1.0,8.0,17.0
IndicFT_DT,0.8,0.76,0.6,1.0,0.75,16.0,0.0,10.0,15.0
IndicFT_Perceptron,0.73,0.68,0.52,0.93,0.67,15.0,1.0,12.0,13.0
fastTextWiki_LR,0.91,0.73,0.6,0.94,0.73,15.0,1.0,10.0,15.0
fastTextWiki_LGBM,0.91,0.76,0.64,0.94,0.76,15.0,1.0,9.0,16.0
fastTextWiki_NB,0.94,0.85,0.8,0.95,0.87,15.0,1.0,5.0,20.0
fastTextWiki_SVC,0.92,0.8,0.68,1.0,0.81,16.0,0.0,8.0,17.0
fastTextWiki_ADB,0.95,0.78,0.68,0.94,0.79,15.0,1.0,8.0,17.0
fastTextWiki_GBC,0.9,0.78,0.68,0.94,0.79,15.0,1.0,8.0,17.0
fastTextWiki_RFC,0.92,0.83,0.72,1.0,0.84,16.0,0.0,7.0,18.0
fastTextWiki_XGB,0.9,0.78,0.68,0.94,0.79,15.0,1.0,8.0,17.0
fastTextWiki_DT,0.69,0.66,0.64,0.76,0.7,11.0,5.0,9.0,16.0
fastTextWiki_Perceptron,0.64,0.56,0.28,1.0,0.44,16.0,0.0,18.0,7.0
Lexical_LR,0.74,0.63,0.48,0.86,0.62,14.0,2.0,13.0,12.0
Lexical_LGBM,0.78,0.76,0.76,0.83,0.79,12.0,4.0,6.0,19.0
Lexical_NB,0.81,0.46,0.16,0.8,0.27,15.0,1.0,21.0,4.0
Lexical_SVC,0.8,0.83,0.88,0.85,0.86,12.0,4.0,3.0,22.0
Lexical_ADB,0.75,0.68,0.68,0.77,0.72,11.0,5.0,8.0,17.0
Lexical_GBC,0.76,0.71,0.72,0.78,0.75,11.0,5.0,7.0,18.0
Lexical_RFC,0.78,0.78,0.8,0.83,0.82,12.0,4.0,5.0,20.0
Lexical_XGB,0.7,0.61,0.64,0.7,0.67,9.0,7.0,9.0,16.0
Lexical_DT,0.75,0.73,0.76,0.79,0.78,11.0,5.0,6.0,19.0
Lexical_Perceptron,0.5,0.39,0.0,0.0,0.0,16.0,0.0,25.0,0.0
Combined_LR,0.9,0.66,0.48,0.92,0.63,15.0,1.0,13.0,12.0
Combined_LGBM,0.94,0.8,0.68,1.0,0.81,16.0,0.0,8.0,17.0
Combined_NB,0.93,0.83,0.76,0.95,0.84,15.0,1.0,6.0,19.0
Combined_SVC,0.84,0.8,0.84,0.84,0.84,12.0,4.0,4.0,21.0
Combined_ADB,0.94,0.78,0.68,0.94,0.79,15.0,1.0,8.0,17.0
Combined_GBC,0.91,0.76,0.68,0.89,0.77,14.0,2.0,8.0,17.0
Combined_RFC,0.91,0.78,0.64,1.0,0.78,16.0,0.0,9.0,16.0
Combined_XGB,0.93,0.78,0.68,0.94,0.79,15.0,1.0,8.0,17.0
Combined_DT,0.64,0.68,0.64,0.8,0.71,12.0,4.0,9.0,16.0
Combined_Perceptron,0.5,0.39,0.0,0.0,0.0,16.0,0.0,25.0,0.0
fasttext_wiki_pretrained,0.91,0.78,0.72,0.9,0.8,14.0,2.0,7.0,18.0
fasttext_indicft_pretrained,0.92,0.8,0.76,0.9,0.83,14.0,2.0,6.0,19.0
mBERT_TaskTransferTT,0.76,0.66,0.68,0.74,0.71,10.0,6.0,8.0,17.0
indicBERT_TaskTransferTT,0.68,0.51,0.4,0.67,0.5,11.0,5.0,15.0,10.0
mBERT_PytorchTT,0.88,0.73,0.68,0.85,0.76,13.0,3.0,8.0,17.0
CNN,0.76,0.66,0.56,0.82,0.67,13.0,3.0,11.0,14.0
RNN,0.8,0.73,0.72,0.82,0.77,12.0,4.0,7.0,18.0
CNN_Wiki300,0.9,0.8,0.8,0.87,0.83,13.0,3.0,5.0,20.0
CNN_IndicFT300,0.85,0.73,0.72,0.82,0.77,12.0,4.0,7.0,18.0
